---TCP Log File Created: 2026-05-01 02:44:30.892 ---
[2026-05-01 02:44:30.892]<DEBUG> [TCP]TCP bridge started at 0.0.0.0:2000
[2026-05-01 02:44:30.892]<WARNING> [TCP]TCP sender connect warning: Connection refused
[2026-05-01 03:09:45.302]<WARNING> [TCP]TCP sender connect warning: Connection refused
[2026-05-01 03:09:47.307]<WARNING> [TCP]TCP sender connect warning: Connection refused
[2026-05-01 03:09:55.306]<WARNING> [TCP]TCP sender connect warning: Connection refused
[2026-05-01 03:10:07.315]<WARNING> [TCP]TCP sender connect warning: Connection refused
[2026-05-01 03:10:10.309]<WARNING> [TCP]TCP sender connect warning: Connection refused
[2026-05-01 03:10:17.314]<WARNING> [TCP]TCP sender connect warning: Connection refused
[2026-05-01 03:10:23.324]<WARNING> [TCP]TCP sender connect warning: Connection refused
[2026-05-01 03:10:24.317]<WARNING> [TCP]TCP sender connect warning: Connection refused
[2026-05-01 03:10:25.328]<WARNING> [TCP]TCP sender connect warning: Connection refused
