---WebCameraHandler Log File Created: 2026-03-15 07:25:48.515 ---
[2026-03-15 07:25:48.514]<DEBUG> [WebCameraHandler]Camera devices scanned: 0 devices found.
[2026-03-15 07:26:00.023]<DEBUG> [WebCameraHandler]Camera devices scanned: 0 devices found.
[2026-03-15 07:26:00.982]<DEBUG> [WebCameraHandler]Camera devices scanned: 0 devices found.
[2026-03-15 07:26:01.611]<DEBUG> [WebCameraHandler]Camera devices scanned: 0 devices found.
[2026-03-15 07:26:02.349]<DEBUG> [WebCameraHandler]Camera devices scanned: 0 devices found.
[2026-03-15 07:26:14.285]<DEBUG> [WebCameraHandler]Camera devices scanned: 0 devices found.
[2026-03-15 07:26:15.764]<DEBUG> [WebCameraHandler]Camera devices scanned: 0 devices found.
[2026-03-15 07:26:16.608]<DEBUG> [WebCameraHandler]Camera devices scanned: 0 devices found.
[2026-03-15 07:26:17.447]<DEBUG> [WebCameraHandler]Camera devices scanned: 0 devices found.
[2026-03-15 07:26:35.228]<DEBUG> [WebCameraHandler]Camera devices scanned: 0 devices found.
[2026-03-15 07:26:35.751]<DEBUG> [WebCameraHandler]Camera devices scanned: 0 devices found.
[2026-03-15 07:26:36.194]<DEBUG> [WebCameraHandler]Camera devices scanned: 0 devices found.
