---WebCameraHandler Log File Created: 2026-03-15 07:21:33.077 ---
[2026-03-15 07:21:33.077]<DEBUG> [WebCameraHandler]Camera devices scanned: 0 devices found.
[2026-03-15 07:21:33.933]<DEBUG> [WebCameraHandler]Camera devices scanned: 0 devices found.
[2026-03-15 07:21:34.668]<DEBUG> [WebCameraHandler]Camera devices scanned: 0 devices found.
[2026-03-15 07:21:35.717]<DEBUG> [WebCameraHandler]Camera devices scanned: 0 devices found.
[2026-03-15 07:21:39.584]<DEBUG> [WebCameraHandler]Camera devices scanned: 0 devices found.
[2026-03-15 07:21:40.339]<DEBUG> [WebCameraHandler]Camera devices scanned: 0 devices found.
[2026-03-15 07:21:40.656]<DEBUG> [WebCameraHandler]Camera devices scanned: 0 devices found.
[2026-03-15 07:21:41.072]<DEBUG> [WebCameraHandler]Camera devices scanned: 0 devices found.
[2026-03-15 07:21:41.283]<DEBUG> [WebCameraHandler]Camera devices scanned: 0 devices found.
[2026-03-15 07:21:42.445]<DEBUG> [WebCameraHandler]Camera devices scanned: 0 devices found.
[2026-03-15 07:21:43.097]<DEBUG> [WebCameraHandler]Camera devices scanned: 0 devices found.
[2026-03-15 07:21:44.142]<DEBUG> [WebCameraHandler]Camera devices scanned: 0 devices found.
