---WebCameraHandler Log File Created: 2026-03-15 07:46:38.712 ---
[2026-03-15 07:46:38.712]<DEBUG> [WebCameraHandler]Camera devices scanned: 0 devices found.
[2026-03-15 07:46:39.994]<DEBUG> [WebCameraHandler]Camera devices scanned: 0 devices found.
[2026-03-15 07:46:42.110]<DEBUG> [WebCameraHandler]Camera devices scanned: 0 devices found.
[2026-03-15 07:46:42.965]<DEBUG> [WebCameraHandler]Camera devices scanned: 0 devices found.
[2026-03-15 07:46:43.797]<DEBUG> [WebCameraHandler]Camera devices scanned: 0 devices found.
[2026-03-15 07:46:44.334]<DEBUG> [WebCameraHandler]Camera devices scanned: 0 devices found.
[2026-03-15 07:46:44.859]<DEBUG> [WebCameraHandler]Camera devices scanned: 0 devices found.
[2026-03-15 07:46:45.281]<DEBUG> [WebCameraHandler]Camera devices scanned: 0 devices found.
[2026-03-15 07:47:10.131]<DEBUG> [WebCameraHandler]Camera devices scanned: 0 devices found.
[2026-03-15 07:47:20.893]<DEBUG> [WebCameraHandler]Camera devices scanned: 0 devices found.
[2026-03-15 07:47:22.268]<DEBUG> [WebCameraHandler]Camera devices scanned: 0 devices found.
[2026-03-15 07:47:23.008]<DEBUG> [WebCameraHandler]Camera devices scanned: 0 devices found.
[2026-03-15 07:48:02.355]<DEBUG> [WebCameraHandler]Camera devices scanned: 0 devices found.
[2026-03-15 07:48:02.944]<DEBUG> [WebCameraHandler]Camera devices scanned: 0 devices found.
[2026-03-15 07:48:03.515]<DEBUG> [WebCameraHandler]Camera devices scanned: 0 devices found.
[2026-03-15 07:48:04.230]<DEBUG> [WebCameraHandler]Camera devices scanned: 0 devices found.
[2026-03-15 07:48:04.814]<DEBUG> [WebCameraHandler]Camera devices scanned: 0 devices found.
[2026-03-15 07:48:05.251]<DEBUG> [WebCameraHandler]Camera devices scanned: 0 devices found.
[2026-03-15 07:52:23.426]<DEBUG> [WebCameraHandler]Camera devices scanned: 0 devices found.
[2026-03-15 07:52:24.411]<DEBUG> [WebCameraHandler]Camera devices scanned: 0 devices found.
[2026-03-15 07:52:25.435]<DEBUG> [WebCameraHandler]Camera devices scanned: 0 devices found.
[2026-03-15 07:52:30.904]<DEBUG> [WebCameraHandler]Camera devices scanned: 0 devices found.
[2026-03-15 07:52:32.256]<DEBUG> [WebCameraHandler]Camera devices scanned: 0 devices found.
[2026-03-15 07:52:34.337]<DEBUG> [WebCameraHandler]Camera devices scanned: 0 devices found.
